text,label,clean_text,target,adj_text
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,positive,new production plant company would increase capacity meet expected increase demand would improve use raw material therefore increase production profitability,1,new would increase expected increase would improve raw
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",positive,according company updated strategy year basware target longterm net sale growth range operating profit margin net sale,1,according updated longterm net net
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,positive,financing aspocomp growth aspocomp aggressively pursuing growth strategy increasingly focusing technologically demanding hdi printed circuit board pcbs,1,financing aspocomp aspocomp pursuing focusing demanding printed
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,last quarter componenta net sale doubled eur eur period year earlier moved zero pretax profit pretax loss eur,1,last componenta net doubled eur moved pretax pretax
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,third quarter net sale increased eur mn operating profit eur mn,1,third net increased eur
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,operating profit rose eur mn eur mn corresponding period representing net sale,1,rose eur mn corresponding representing net
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,operating profit totalled eur mn eur mn representing net sale,1,totalled eur representing net
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,positive,teliasonera tlsn said offer line strategy increase ownership core business holding would strengthen eesti telekom offering customer,1,said increase holding would strengthen eesti telekom
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",positive,stora enso norske skog mreal upmkymmene credit suisse first boston cfsb raised fair value share four largest nordic forestry group,1,enso norske upmkymmene first raised fair largest nordic
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",positive,purchase agreement ton gasoline delivery hamina terminal finland signed neste oil oyj average platts index september plus eight u dollar per month,1,hamina terminal signed oyj platts september u
