text,label,clean_text,target
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,according gran company plan move production russia although company growing,0
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",neutral,technopolis plan develop stage area le square meter order host company working computer technology telecommunication statement said,0
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .",negative,international electronic industry company elcoteq laid ten employee tallinn facility contrary earlier layoff company contracted rank office worker daily postimees reported,-1
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,positive,new production plant company would increase capacity meet expected increase demand would improve use raw material therefore increase production profitability,1
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",positive,according company updated strategy year basware target longterm net sale growth range operating profit margin net sale,1
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,positive,financing aspocomp growth aspocomp aggressively pursuing growth strategy increasingly focusing technologically demanding hdi printed circuit board pcbs,1
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,last quarter componenta net sale doubled eur eur period year earlier moved zero pretax profit pretax loss eur,1
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,third quarter net sale increased eur mn operating profit eur mn,1
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,operating profit rose eur mn eur mn corresponding period representing net sale,1
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,operating profit totalled eur mn eur mn representing net sale,1
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,positive,teliasonera tlsn said offer line strategy increase ownership core business holding would strengthen eesti telekom offering customer,1
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",positive,stora enso norske skog mreal upmkymmene credit suisse first boston cfsb raised fair value share four largest nordic forestry group,1
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",positive,purchase agreement ton gasoline delivery hamina terminal finland signed neste oil oyj average platts index september plus eight u dollar per month,1
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,finnish talentum report operating profit increased eur mn eur mn net sale totaled eur mn eur mn,1
"Clothing retail chain Sepp+�l+� 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,clothing retail chain sepp�l� sale increased eur mn operating profit rose eur mn eur mn,1
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,consolidated net sale increased reach eur operating profit amounted eur compared loss eur prior year period,1
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,foundry division report sale increased eur mn eur mn corresponding period sale machine shop division increased eur mn eur mn corresponding period,1
